# darshan log version: 3.21
# compression method: ZLIB
# exe: h5bench_write /p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/b9b5bd25/h5bench.cfg /p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5
# uid: 35619
# jobid: 113106
# start_time: 1665634490
# start_time_asci: Wed Oct 12 21:14:50 2022
# end_time: 1665634495
# end_time_asci: Wed Oct 12 21:14:55 2022
# nprocs: 4
# run time: 6
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 454 bytes (compressed)
# record table: 222 bytes (compressed)
# POSIX module: 236 bytes (compressed), ver=4
# MPI-IO module: 148 bytes (compressed), ver=3
# STDIO module: 222 bytes (compressed), ver=2
# HEATMAP module: 649 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/mnt/bb_76b9b948a77b100d9d24752f215b7bce	xfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/var/cfengine/inputs	nfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/collab/usr/global	nfs
# mount entry:	/collab/usr/gapps	nfs
# mount entry:	/collab/usr/gdata	nfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/usr/workspace	nfs
# mount entry:	/usr/mic/cage	nfs
# mount entry:	/collab/repo	nfs
# mount entry:	/usr/mic/bio	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/usr/global	nfs
# mount entry:	/usr/tcetmp	nfs
# mount entry:	/nfs/dvstmp	nfs
# mount entry:	/usr/sonar	nfs
# mount entry:	/usr/gapps	nfs
# mount entry:	/usr/gdata	nfs
# mount entry:	/usr/give	nfs
# mount entry:	/p/gpfs1	gpfs
# mount entry:	/usr/tce	nfs
# mount entry:	/usr/WS1	nfs
# mount entry:	/usr/WS2	nfs
# mount entry:	/p/vast1	nfs
# mount entry:	/g/g10	nfs
# mount entry:	/g/g11	nfs
# mount entry:	/g/g12	nfs
# mount entry:	/g/g13	nfs
# mount entry:	/g/g14	nfs
# mount entry:	/g/g15	nfs
# mount entry:	/g/g16	nfs
# mount entry:	/g/g17	nfs
# mount entry:	/g/g18	nfs
# mount entry:	/g/g19	nfs
# mount entry:	/g/g20	nfs
# mount entry:	/g/g21	nfs
# mount entry:	/g/g22	nfs
# mount entry:	/g/g23	nfs
# mount entry:	/g/g24	nfs
# mount entry:	/g/g90	nfs
# mount entry:	/g/g91	nfs
# mount entry:	/g/g92	nfs
# mount entry:	/g/g99	nfs
# mount entry:	/g/g0	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	ext4

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	-1	836017519648718277	POSIX_OPENS	5	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_FILENOS	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_DUPS	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_READS	12	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_WRITES	172	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_SEEKS	3	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_STATS	2	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MMAPS	-1	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_FSYNCS	1	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_FDSYNCS	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_RENAME_SOURCES	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_RENAME_TARGETS	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_RENAMED_FROM	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MODE	420	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_BYTES_READ	4199568	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_BYTES_WRITTEN	2688554128	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MAX_BYTE_READ	2550137919	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MAX_BYTE_WRITTEN	2835349503	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_CONSEC_READS	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_CONSEC_WRITES	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_SEQ_READS	11	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_SEQ_WRITES	168	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_RW_SWITCHES	24	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MEM_NOT_ALIGNED	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MEM_ALIGNMENT	8	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_FILE_NOT_ALIGNED	6	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_FILE_ALIGNMENT	16777216	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MAX_READ_TIME_SIZE	524288	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_MAX_WRITE_TIME_SIZE	16777216	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_SIZE_READ_0_100	0	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
POSIX	-1	836017519648718277	POSIX_SIZE_READ_100_1K	1	/p/gpfs1/iopp/temp/h5bench/sync-write-1d-contig-contig/test.h5	/p/gpfs1	gpfs
